candidate,term,tf,tf_per_k
artes,reestructuracion,6,0.3933652396249918
artes,particularmente,6,0.3933652396249918
artes,expropiaciones,6,0.3933652396249918
artes,realidad,6,0.3933652396249918
artes,habra,6,0.3933652396249918
artes,boicot,6,0.3933652396249918
artes,habitantes,6,0.3933652396249918
artes,participar,6,0.3933652396249918
artes,obligacion,6,0.3933652396249918
artes,carreteras,6,0.3933652396249918
artes,universidades,6,0.3933652396249918
artes,hospitales,6,0.3933652396249918
artes,reciclaje,6,0.3933652396249918
artes,emergencia,6,0.3933652396249918
artes,evaluaran,6,0.3933652396249918
artes,partes,6,0.3933652396249918
artes,factibilidad,6,0.3933652396249918
artes,disposicion,6,0.3933652396249918
artes,estaran,6,0.3933652396249918
artes,integral,6,0.3933652396249918
artes,elaborara,6,0.3933652396249918
artes,defender,6,0.3933652396249918
artes,implementacion,6,0.3933652396249918
artes,castigo,6,0.3933652396249918
artes,flagelo,6,0.3933652396249918
artes,mayores,6,0.3933652396249918
artes,cotizaciones,6,0.3933652396249918
artes,zonas,6,0.3933652396249918
artes,minimo,6,0.3933652396249918
artes,administracion,6,0.3933652396249918
artes,urbana,6,0.3933652396249918
artes,crimenes,6,0.3933652396249918
artes,localidades,6,0.3933652396249918
artes,tratamiento,6,0.3933652396249918
artes,infancia,6,0.3933652396249918
artes,urbano,6,0.3933652396249918
artes,ensenanza,6,0.3933652396249918
artes,afp,6,0.3933652396249918
artes,inmigracion,6,0.3933652396249918
artes,penitenciario,6,0.3933652396249918
artes,luchar,5,0.3278043663541598
artes,falta,5,0.3278043663541598
artes,norte,5,0.3278043663541598
artes,propuesta,5,0.3278043663541598
artes,adecuada,5,0.3278043663541598
artes,condicion,5,0.3278043663541598
artes,litio,5,0.3278043663541598
artes,tierras,5,0.3278043663541598
artes,potencial,5,0.3278043663541598
artes,gozar,5,0.3278043663541598
artes,consecuencia,5,0.3278043663541598
artes,concertacion,5,0.3278043663541598
artes,fundamentalmente,5,0.3278043663541598
artes,inversiones,5,0.3278043663541598
artes,actividad,5,0.3278043663541598
artes,altas,5,0.3278043663541598
artes,mundial,5,0.3278043663541598
artes,situacion,5,0.3278043663541598
artes,dependiente,5,0.3278043663541598
artes,productivos,5,0.3278043663541598
artes,primordialmente,5,0.3278043663541598
artes,satisfacer,5,0.3278043663541598
artes,fiscales,5,0.3278043663541598
artes,generalizado,5,0.3278043663541598
artes,mercancias,5,0.3278043663541598
artes,concentracion,5,0.3278043663541598
artes,patrimonio,5,0.3278043663541598
artes,familias,5,0.3278043663541598
artes,producto,5,0.3278043663541598
artes,asalariada,5,0.3278043663541598
artes,impuesto,5,0.3278043663541598
artes,profundamente,5,0.3278043663541598
artes,manifiesto,5,0.3278043663541598
artes,obstante,5,0.3278043663541598
artes,mapuche,5,0.3278043663541598
artes,chilenos,5,0.3278043663541598
artes,cambiar,5,0.3278043663541598
artes,tarea,5,0.3278043663541598
artes,iniciar,5,0.3278043663541598
artes,exige,5,0.3278043663541598
artes,ideologia,5,0.3278043663541598
artes,enfrentar,5,0.3278043663541598
artes,deberia,5,0.3278043663541598
artes,relevantes,5,0.3278043663541598
artes,cooperacion,5,0.3278043663541598
artes,contexto,5,0.3278043663541598
artes,legislacion,5,0.3278043663541598
artes,negociacion,5,0.3278043663541598
artes,colectiva,5,0.3278043663541598
artes,pilares,5,0.3278043663541598
artes,impone,5,0.3278043663541598
artes,definitiva,5,0.3278043663541598
artes,alcanzar,5,0.3278043663541598
artes,plebiscito,5,0.3278043663541598
artes,convencion,5,0.3278043663541598
artes,permitira,5,0.3278043663541598
artes,imperioso,5,0.3278043663541598
artes,socialistas,5,0.3278043663541598
artes,alimentacion,5,0.3278043663541598
artes,agricultura,5,0.3278043663541598
artes,decidida,5,0.3278043663541598
artes,efectiva,5,0.3278043663541598
artes,tecnologias,5,0.3278043663541598
artes,cultivo,5,0.3278043663541598
artes,vias,5,0.3278043663541598
artes,eolica,5,0.3278043663541598
artes,derivados,5,0.3278043663541598
artes,postulamos,5,0.3278043663541598
artes,cooperativa,5,0.3278043663541598
artes,pequenas,5,0.3278043663541598
artes,habitan,5,0.3278043663541598
artes,superacion,5,0.3278043663541598
artes,razon,5,0.3278043663541598
artes,democraticas,5,0.3278043663541598
artes,proteger,5,0.3278043663541598
artes,esfuerzo,5,0.3278043663541598
artes,regional,5,0.3278043663541598
artes,pondra,5,0.3278043663541598
artes,incorporacion,5,0.3278043663541598
artes,estrictamente,5,0.3278043663541598
artes,orientadas,5,0.3278043663541598
artes,activa,5,0.3278043663541598
artes,creciente,5,0.3278043663541598
artes,consideracion,5,0.3278043663541598
artes,especial,5,0.3278043663541598
artes,experiencias,5,0.3278043663541598
artes,comercio,5,0.3278043663541598
artes,impulsara,5,0.3278043663541598
artes,latitudes,5,0.3278043663541598
artes,sanciones,5,0.3278043663541598
artes,transicion,5,0.3278043663541598
artes,numero,5,0.3278043663541598
artes,buscara,5,0.3278043663541598
artes,insuficientes,5,0.3278043663541598
artes,corrupcion,5,0.3278043663541598
artes,beneficios,5,0.3278043663541598
artes,generales,5,0.3278043663541598
artes,ganancias,5,0.3278043663541598
artes,tecnologia,5,0.3278043663541598
artes,investigacion,5,0.3278043663541598
artes,organizada,5,0.3278043663541598
artes,artificial,5,0.3278043663541598
artes,seria,5,0.3278043663541598
artes,jornada,5,0.3278043663541598
artes,indispensable,5,0.3278043663541598
artes,temas,5,0.3278043663541598
artes,alza,5,0.3278043663541598
artes,ideara,5,0.3278043663541598
artes,hambre,5,0.3278043663541598
artes,militares,5,0.3278043663541598
artes,recibiran,5,0.3278043663541598
artes,puntos,5,0.3278043663541598
artes,dotacion,5,0.3278043663541598
artes,estudiaran,5,0.3278043663541598
artes,gasto,5,0.3278043663541598
artes,recibir,5,0.3278043663541598
artes,garantizara,5,0.3278043663541598
artes,deber,5,0.3278043663541598
artes,mecanismos,5,0.3278043663541598
artes,tributario,5,0.3278043663541598
artes,evasion,5,0.3278043663541598
artes,publicos,5,0.3278043663541598
artes,funcionarios,5,0.3278043663541598
artes,persona,5,0.3278043663541598
artes,origen,5,0.3278043663541598
artes,puesto,5,0.3278043663541598
artes,causas,5,0.3278043663541598
artes,mixtas,5,0.3278043663541598
artes,medico,5,0.3278043663541598
artes,establecimientos,5,0.3278043663541598
artes,habitacional,5,0.3278043663541598
artes,educativo,5,0.3278043663541598
artes,hijos,5,0.3278043663541598
artes,nina,5,0.3278043663541598
artes,nino,5,0.3278043663541598
artes,sexual,5,0.3278043663541598
artes,ciclos,5,0.3278043663541598
artes,digna,4,0.2622434930833279
artes,experiencia,4,0.2622434930833279
artes,comprension,4,0.2622434930833279
artes,unico,4,0.2622434930833279
artes,ideas,4,0.2622434930833279
artes,uranio,4,0.2622434930833279
artes,bosques,4,0.2622434930833279
artes,progresivamente,4,0.2622434930833279
artes,alianza,4,0.2622434930833279
artes,disponibles,4,0.2622434930833279
artes,economias,4,0.2622434930833279
artes,sumas,4,0.2622434930833279
artes,union,4,0.2622434930833279
artes,resumen,4,0.2622434930833279
artes,saqueo,4,0.2622434930833279
artes,primeramente,4,0.2622434930833279
artes,privilegios,4,0.2622434930833279
artes,maquinarias,4,0.2622434930833279
artes,paraisos,4,0.2622434930833279
artes,pinochet,4,0.2622434930833279
artes,fenomeno,4,0.2622434930833279
artes,elevados,4,0.2622434930833279
artes,llevado,4,0.2622434930833279
artes,mil,4,0.2622434930833279
artes,acumulacion,4,0.2622434930833279
artes,pagan,4,0.2622434930833279
artes,deberian,4,0.2622434930833279
artes,resto,4,0.2622434930833279
artes,afecta,4,0.2622434930833279
artes,campesinos,4,0.2622434930833279
artes,endeudamiento,4,0.2622434930833279
artes,infantil,4,0.2622434930833279
artes,causa,4,0.2622434930833279
artes,ricos,4,0.2622434930833279
artes,viajes,4,0.2622434930833279
artes,medica,4,0.2622434930833279
artes,verdaderamente,4,0.2622434930833279
artes,l,4,0.2622434930833279
artes,expropiacion,4,0.2622434930833279
artes,cuba,4,0.2622434930833279
artes,venezuela,4,0.2622434930833279
artes,fortalecimiento,4,0.2622434930833279
artes,impulsar,4,0.2622434930833279
artes,constituir,4,0.2622434930833279
artes,subsistencia,4,0.2622434930833279
artes,vinculacion,4,0.2622434930833279
artes,acompanado,4,0.2622434930833279
artes,reformas,4,0.2622434930833279
artes,neoliberal,4,0.2622434930833279
artes,genuina,4,0.2622434930833279
artes,representantes,4,0.2622434930833279
artes,gremios,4,0.2622434930833279
artes,movilizacion,4,0.2622434930833279
artes,disponen,4,0.2622434930833279
artes,democratica,4,0.2622434930833279
artes,antiimperialista,4,0.2622434930833279
artes,r,4,0.2622434930833279
artes,acuicultura,4,0.2622434930833279
artes,mejores,4,0.2622434930833279
artes,campesina,4,0.2622434930833279
artes,ofrecer,4,0.2622434930833279
artes,productividad,4,0.2622434930833279
artes,impacto,4,0.2622434930833279
artes,satisfaccion,4,0.2622434930833279
artes,preponderante,4,0.2622434930833279
artes,creacion,4,0.2622434930833279
artes,responsabilidades,4,0.2622434930833279
artes,energias,4,0.2622434930833279
artes,enorme,4,0.2622434930833279
artes,territorios,4,0.2622434930833279
artes,contaminacion,4,0.2622434930833279
artes,baterias,4,0.2622434930833279
artes,contaminantes,4,0.2622434930833279
artes,desarrollando,4,0.2622434930833279
artes,metodos,4,0.2622434930833279
artes,solar,4,0.2622434930833279
artes,ocupa,4,0.2622434930833279
artes,terrestre,4,0.2622434930833279
artes,senalar,4,0.2622434930833279
artes,sol,4,0.2622434930833279
artes,eficiencia,4,0.2622434930833279
artes,suficientes,4,0.2622434930833279
artes,suma,4,0.2622434930833279
artes,enteramente,4,0.2622434930833279
artes,banca,4,0.2622434930833279
artes,financiero,4,0.2622434930833279
artes,financieras,4,0.2622434930833279
artes,movilizadas,4,0.2622434930833279
artes,grupos,4,0.2622434930833279
artes,reaccionarios,4,0.2622434930833279
artes,quiera,4,0.2622434930833279
artes,policiales,4,0.2622434930833279
artes,sustitucion,4,0.2622434930833279
